id,channel_number,name,channel_group_id,tvg_id,tvc_guide_stationid,epg_data_id,logo_id
550,21.0,GOL Play,4,GOL PLAY,,144,22
549,20.0,DAZN 4,5,DAZN 4 HD,,163,21
548,19.0,DAZN 3,5,DAZN 3 HD,,162,20
547,18.0,DAZN 2,5,DAZN 2 HD,,141,19
546,17.0,DAZN 1,5,DAZN 1 HD,,140,18
551,16.0,M+ Deportes 7,19,M+ Deportes 7,,160,23
545,15.0,M+ Deportes 6,19,M+ Deportes 6,,159,17
544,14.0,M+ Deportes 5,19,M+ Deportes 5,,158,16
543,13.0,M+ Deportes 4,19,M+ Deportes 4,,157,15
542,12.0,M+ Deportes 3,19,M+ Deportes 3,,135,14
541,11.0,M+ Deportes 2,19,M+ Deportes 2 HD,,134,13
540,10.0,M+ Deportes,19,M+ Deportes HD,,133,12
539,9.0,DAZN F1,3,DAZN F1 HD,,139,11
538,8.0,LaLiga TV Hypermotion 3,7,LaLiga TV Hypermotion 3,,156,10
537,7.0,LaLiga TV Hypermotion 2,7,LaLiga TV Hypermotion 2,,129,9
536,6.0,LaLiga TV Hypermotion,7,LaLiga TV Hypermotion HD,,126,8
535,5.0,DAZN LaLiga 2,6,DAZN LaLiga 2 HD,,128,7
534,4.0,DAZN LaLiga,6,DAZN LaLiga HD,,125,6
533,3.0,M+ LaLiga 3,6,M+ LaLiga 3 HD,,148,5
532,2.0,M+ LaLiga 2,6,M+ LaLiga 2 HD,,127,4
531,1.0,M+ LaLiga,6,M+ LaLiga HD,,124,3
